Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
Admob iPad Text Tile Sustaining_Group,7169891,76847,5920.3,48,0,59,5,Prospecting
Amazon ROS CPC_Group,136405188,22412,40385.7,123,1062.6,4254,5,Prospecting
AOL Email Log-in Page_1300x856,31,0,0,0,0,0,5,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_300x250,3,0,0,0,0,0,5,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_468x60,3,0,0,0,0,0,5,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_728x90,3,0,0,0,0,0,5,Prospecting
EOGN ROS CPM_Group,0,11061,4863.72,8,0,7291,5,Prospecting
Google A45 Genealogy Interest Targeting_Group,16518652,8657,17452.16,75,596.7,3647,5,Prospecting
Google A45 Parenting Topic Targeting_Group,1,1,0,0,0,0,5,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,10299422,4737,11568.62,38,222.3,1029,5,Prospecting
Google Genealogy Topic Targeting_Group,5633978,3362,6699.29,56,364.2,1725,5,Prospecting
Google Keyword Contextual Targeting_Group,36864295,10812,26744.44,36,292.5,1624,5,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,13,0,0,0,0,0,5,Prospecting
Google Search Companion_Beta test,16767344,4545,9369.86,11,108.6,467,5,Prospecting
iMedia Age50 Living Channel_Group,49976638,42361,82594.57,287,1351.8,6759,5,Prospecting
Invite Prospect Age Targeting_Group,22714115,27801,5611.78,5,48,263,5,Prospecting
Millennial Tablet MobiBlock_Group,2231278,6818,11156.55,4,0,13,5,Prospecting
Millennial Tablet RON_Group,12378878,61898,12379.6,44,0,62,5,Prospecting
Mobclix Android RON_Group,926766,13404,3351,1,0,4,5,Prospecting
Mobclix iPad RON_Group,2334246,30220,7555,25,0,35,5,Prospecting
MSN Experian Mosaic Targeting_Group,1,0,0,0,0,0,5,Prospecting
MSN MMN CPA Group,120558504,64721,33316.18,157,518.1,5084,5,Prospecting
MSN Run of Social _Group,1,0,0,0,0,0,5,Prospecting
NBC Targeted Media Added Value_Group,513689,464,0,0,4.8,146,5,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,1941698,2964,21369.14,8,17.4,139,5,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,1920032,1913,23037.26,4,22.5,170,5,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,86227,1404,1552.06,21,39.3,1156,5,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,87342,975,1572.14,7,0,347,5,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,87555,2020,1400.87,17,0.3,552,5,Prospecting
Oprah Flipboard_1024x768,4912961,2533,12500,19,0,0,5,Prospecting
Oprah Flipboard_m_640x920,937166,724,12500,1,0,0,5,Prospecting
Oprah Newsletter Added Value_300x250,0,144,0,1,0,0,5,Prospecting
Quantcast ACOM Subscription Model_Group,44154884,25245,132465.07,149,1830.3,7780,5,Prospecting
Specific Media Network_Group,25,0,0,0,6,33,5,Prospecting
Tribal Fusion CPA_Group,39874421,39275,63495,152,1052.4,5975,5,Prospecting
Turn Predictive Retargeting_Group,7622749,5057,23248.08,27,320.7,3659,5,Prospecting
Undertone Network Takeover,4132249,7211,22718.1,27,37.8,408,5,Prospecting
Invite Retargeting_Group,35443281,47017,43461.34,129,563.76,8001,5,Remarketing
Netmining Retargeting_Group,5,0,0,0,0,0,5,Remarketing
Tribal Fusion CPA Remarketing_Group,5401624,7622,23463,71,387.9,3331,5,Remarketing
Turn Retargeting_Group,28044853,26091,79320.14,167,1080.54,9394,5,Remarketing
Ad.com CPA Network_Group,342284915,200852,263481.5,507,3778.8,4285.8,6,Prospecting
Admob iPad Banner Sustaining_Group,6532631,54403,6375.79,29,0,29,6,Prospecting
Admob iPad Text Tile Sustaining_Group,8803674,66616,6221.63,36,0,36,6,Prospecting
Amazon ROS CPC_Group,163308676,28828,53331.8,121,701.4,822.4,6,Prospecting
AOL Email Log-in Page_1300x856,3,0,0,0,0,0,6,Prospecting
Centro 1940_Census General,7,0,0.03,0,0,0,6,Prospecting
Centro 1940_Census NY State,5717070,2806,15550.43,6,7.2,13.2,6,Prospecting
EOGN ROS CPM_Group,0,818,7500,2,0,2,6,Prospecting
Google A45 Genealogy Interest Targeting_Group,18161033,9114,20505.43,76,614.7,690.7,6,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,10874786,4468,12852.34,40,193.5,233.5,6,Prospecting
Google Genealogy Topic Targeting_Group,6753851,3547,8597.42,71,456,527,6,Prospecting
Google Keyword Contextual Targeting_Group,32567798,14918,24670.34,56,252.6,308.6,6,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,1,0,0,0,0,0,6,Prospecting
Google Search Companion_Beta test,11546424,2814,6449.82,6,69.3,75.3,6,Prospecting
iMedia Age50 Living Channel_Group,61892571,60353,105217.37,306,1115.4,1421.4,6,Prospecting
Invite Prospect Age Targeting_Group,49118372,66097,8775.62,19,72,91,6,Prospecting
JumpTap_Tablet_Performance,19283326,51959,6235.08,7,0,7,6,Prospecting
Millennial Demo Targeting Tablet A45+_Group,0,1,0,0,0,0,6,Prospecting
Millennial Tablet MobiBlock_Group,0,13,0,0,0,0,6,Prospecting
Millennial Tablet RON_Group,8012507,52927,10585.4,13,0,13,6,Prospecting
Mobclix Android RON_Group,2,63,15.75,1,0,1,6,Prospecting
Mobclix iPad RON_Group,0,0,0,1,0,1,6,Prospecting
MSN MMN CPA Group,83993594,54945,21664.8,81,343.8,424.8,6,Prospecting
MSN Run of Social _Group,5,0,0,0,0,0,6,Prospecting
NBC Targeted Media Added Value_Group,55716,49,0,0,0.9,0.9,6,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,735106,1245,7823.97,3,6.3,9.3,6,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,756691,1021,8794.37,7,4.5,11.5,6,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,7316,158,128.67,3,1.8,4.8,6,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,7388,160,129.82,1,0,1,6,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,7376,153,118,1,0,1,6,Prospecting
Oprah Flipboard_1024x768,4912961,1616,12500,10,0,10,6,Prospecting
Oprah Flipboard_m_640x920,31238.87,826,12500,0,0,0,6,Prospecting
Quantcast ACOM Subscription Model_Group,36166359,18335,108499.24,109,1017,1126,6,Prospecting
Specific Media Network_Group,1,0,0,0,0,0,6,Prospecting
Tribal Fusion CPA_Group,31039918,27798,42650,106,747,853,6,Prospecting
Turn Predictive Retargeting_Group,6276857,3925,19528.07,11,189.9,200.9,6,Prospecting
Undertone Network Takeover,16,0,0,0,0,0,6,Prospecting
Invite Retargeting_Group,33809823,53456,36080.43,115,516.42,631.42,6,Remarketing
Netmining Retargeting_Booker_Group,13,3,0,0,0,0,6,Remarketing
Netmining Retargeting_Browser_Group,13,5,0,0,0,0,6,Remarketing
Netmining Retargeting_Group,2,0,0,0,0,0,6,Remarketing
Netmining Retargeting_Interested_Group,13,4,0,0,0,0,6,Remarketing
Tribal Fusion CPA Remarketing_Group,4364333,5751,12405,33,215.1,248.1,6,Remarketing
Tribal Fusion CPA Retargeting_Booker_Group,24,36,0,0,0,0,6,Remarketing
Tribal Fusion CPA Retargeting_Browser_Group,22,33,0,0,0,0,6,Remarketing
Tribal Fusion CPA Retargeting_Interested_Group,18,25,0,0,0,0,6,Remarketing
Turn Retargeting_Booker_Group,305,0,0,0,0,0,6,Remarketing
Turn Retargeting_Browser_Group,311,0,0,0,0,0,6,Remarketing
Turn Retargeting_Group,45880470,32076,84480.88,196,1117.8,1313.8,6,Remarketing
Turn Retargeting_Interested_Group,305,0,0,0,0,0,6,Remarketing
Ad.com CPA Network_Group,150964461,61703,185766,232,2864.1,3096.1,7,Prospecting
Admob iPad Banner Sustaining_Group,0,39,0,2,0,2,7,Prospecting
Admob iPad Text Tile Sustaining_Group,0,35,0,4,0,4,7,Prospecting
Amazon ROS CPC_Group,64725921,16999,31448.15,97,504,601,7,Prospecting
AOL Email Log-in Page_1300x856,2,0,0,0,0,0,7,Prospecting
Centro 1940_Census NY State,1093,0,0,1,0.6,1.6,7,Prospecting
EOGN ROS CPM_Group,0,835,7500,12,0,12,7,Prospecting
Google A45 Genealogy Interest Targeting_Group,20826249,9247,22862.76,70,678,748,7,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,12507007,5015,14188.76,48,252.6,300.6,7,Prospecting
Google Genealogy Topic Targeting_Group,8310977,3848,9938.98,80,517.8,597.8,7,Prospecting
Google Keyword Contextual Targeting_Group,3457195,2748,0,20,65.4,85.4,7,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,1,0,0,0,0,0,7,Prospecting
Google Search Companion_Beta test,22,0,0,0,0,0,7,Prospecting
iMedia Age50 Living Channel_Group,42912015,41740,81532.93,268,1108.2,1376.2,7,Prospecting
Invite Prospect Age Targeting_Group,944,2,0,0,0.9,0.9,7,Prospecting
JumpTap_Tablet_Performance,0,985,0,6,23.7,29.7,7,Prospecting
Millennial Tablet MobiBlock_Group,0,7,0,4,0,4,7,Prospecting
Millennial Tablet RON_Group,0,692,0,0,0,0,7,Prospecting
Mobclix Android RON_Group,0,3,0,2,0,2,7,Prospecting
MSN MMN CPA Group,933647,781,0,0,0,0,7,Prospecting
MSN Run of Social _Group,2,0,0,4,33.3,37.3,7,Prospecting
Netmining Audience Extensions_Group,2963756,1666,4894.73,0,0,0,7,Prospecting
Netmining Custom Audience Targeting_Group,1,0,0,5,48,53,7,Prospecting
Oprah Flipboard_1024x768,0,77,0,0,0,0,7,Prospecting
Oprah Flipboard_m_640x920,0,53,0,34,240.84,274.84,7,Prospecting
Quantcast ACOM Subscription Model_Group,18255030,12131,54765.52,5,26.82,31.82,7,Prospecting
Tribal Fusion CPA_Group,22273036,20381,44530,0,0,0,7,Prospecting
Turn Predictive Retargeting_Group,7842044,4221,20999.9,14,87.12,101.12,7,Prospecting
Undertone Network Takeover,1,0,0,1,0,1,7,Prospecting
Y! Answers ROS_A45+_Geo: CA,144058,102,654.01,0,0,0,7,Prospecting
Y! Homepage ROS_ BT Genealogy Geo CA_Merlin Flow,61759,74,293.97,115,1141.8,1256.8,7,Prospecting
Y! Homepage ROS_ BT Genealogy Geo CA_Merlin Flow CA,62869,74,299.24,2,5.22,7.22,7,Prospecting
Y! Homepage ROS_A45+ Geo CA_Merlin Flow,372182,249,1600.38,13,54,67,7,Prospecting
Y! Homepage ROS_A45+ Geo CA_Merlin Flow CA,369571,211,1589.15,1,19.44,20.44,7,Prospecting
Y! Mail ROS_A45+,1424865,1133,3118.2,10,39.06,49.06,7,Prospecting
Y! Network Search Retargeting,1142597,1436,3340.64,77,813.6,890.6,7,Prospecting
Y! News ROS_A45+,705225,497,2025.91,18,253.2,271.2,7,Prospecting
Y! ROS_BT: Genealogy,2539549,3253,7778.47,101,687.24,788.24,7,Prospecting
Y! ROS_BT: Genealogy_Geo: CA,1509114,1321,4396.93,8,79.02,87.02,7,Prospecting
Y! ROS_BT: Seniors,555117,719,1619.82,5,5.04,10.04,7,Prospecting
Y! ROS_Content Target: Genealogy,442939,1294,732.58,17,103.32,120.32,7,Prospecting
Y! ROS_Content Target: History,520929,389,1430.73,0,0,0,7,Prospecting
Y! ROS_Mail Domain Targeting Prospects,1357817,1796,4091.86,0,2.4,2.4,7,Prospecting
Y! Weather ROS_A45+_Geo: CA,72336,107,170.01,0,0.3,0.3,7,Prospecting
Invite Retargeting_Group,1162,4,0,0,0.3,0.3,7,Remarketing
Netmining Retargeting_Booker_Group,5891318,3238,12230.8,1,1.5,2.5,7,Remarketing
Netmining Retargeting_Browser_Group,1015905,542,1966.39,1,0.9,1.9,7,Remarketing
Netmining Retargeting_Group,3,0,0,4,30.3,34.3,7,Remarketing
Netmining Retargeting_Interested_Group,2599971,1486,5490.6,19,59.4,78.4,7,Remarketing
Tribal Fusion CPA Remarketing_Group,12449,13,361,3,10.8,13.8,7,Remarketing
Tribal Fusion CPA Retargeting_Booker_Group,1276692,1133,3350,19,112.8,131.8,7,Remarketing
Tribal Fusion CPA Retargeting_Browser_Group,383684,324,1022,3,12,15,7,Remarketing
Tribal Fusion CPA Retargeting_Interested_Group,894392,783,2453,2,11.7,13.7,7,Remarketing
Turn Retargeting_Booker_Group,5478321,5016,23402.83,24,194.4,218.4,7,Remarketing
Turn Retargeting_Browser_Group,1398032,1068,3900.31,0,5.1,5.1,7,Remarketing
Turn Retargeting_Group,10716,4,0,17,33,50,7,Remarketing
Turn Retargeting_Interested_Group,4215737,2274,11698.08,1,1.2,2.2,7,Remarketing
Ad.com CPA Network_Group,438284806,275653,238830,490,3490.5,3980.5,8,Prospecting
AddThis Audience Segments,612162,217,1836.49,0,6,6,8,Prospecting
Amazon ROS CPC_Group,78301461,18635,34474.75,32,361.2,393.2,8,Prospecting
AOL Email Log-in Page_1300x856,12,0,0,0,0,0,8,Prospecting
Centro 1940_Census NY State,20,0,0,0,0,0,8,Prospecting
EOGN ROS CPM_Group,0,712,7500,2,0,2,8,Prospecting
Google A45 Genealogy Interest Targeting_Group,20738178,10858,30732.07,79,558.6,637.6,8,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,8178756,3686,9104.89,28,141.9,169.9,8,Prospecting
Google Genealogy Topic Targeting_Group,5658199,3338,6850.35,38,287.7,325.7,8,Prospecting
Google Keyword Contextual Targeting_Group,14,2,0,1,2.4,3.4,8,Prospecting
iMedia Age50 Living Channel_Group,48879152,54663,92870.33,301,1155.9,1456.9,8,Prospecting
Invite Prospect Age Targeting_Group,100,1,0,0,0,0,8,Prospecting
JumpTap_Tablet_Performance,0,48,0,0,0,0,8,Prospecting
Millennial Tablet MobiBlock_Group,0,5,0,0,0,0,8,Prospecting
Millennial Tablet RON_Group,0,70,0,0,0,0,8,Prospecting
MSN MMN CPA Group,150,0,0,0,0,0,8,Prospecting
Netmining Audience Extensions_Group,338413,154,518.68,0,0,0,8,Prospecting
Oprah Flipboard_1024x768,0,12,0,5,8.1,13.1,8,Prospecting
Oprah Flipboard_m_640x920,0,1,0,67,266.94,333.94,8,Prospecting
Quantcast ACOM Subscription Model_Group,19571332,14599,58714.23,8,27.36,35.36,8,Prospecting
